Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
288-sport,288 sport,"VISIÓN GENERAL<br data-mce-fragment=""1"">El 288s es una versión refinada del 288. Inspirado en los zapatos de fútbol sala que se han actualizado con el tipo de tecnología robusta que necesita en un zapato de skate. Para empezar, New Balance agregó una puntera de una pieza sin costuras para reducir los puntos de tensión y aumentar la durabilidad. Luego, para mejorar el rendimiento de impacto, agregaron una plantilla acolchada de poliuretano de celda cerrada. Para rematar, New Balance incorporó un talón embalado para brindar comodidad y apoyo al sujetar el talón, algo que apreciará cuando se patea en un espacio más grande. El resultado final es un zapato de skate serio envuelto en un paquete informal de perfil bajo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">CARACTERISTICAS<br data-mce-fragment=""1"">Único<br data-mce-fragment=""1"">Suela de copa<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Detalles<br data-mce-fragment=""1"">Panel de cuarto de una pieza y vampiro<br data-mce-fragment=""1"">Entresuela C-Cap®<br data-mce-fragment=""1"">Suela de goma Ndurance®<br data-mce-fragment=""1"">Construcción de cuello de malla elástica en 4 direcciones ""similar a un calcetín"" para un ajuste cómodo y seguro<br data-mce-fragment=""1"">Interior forrado de malla transpirable<br data-mce-fragment=""1"">Embalaje en el talón para una protección óptima contra impactos<br data-mce-fragment=""1"">ÚNICO<br data-mce-fragment=""1"">Suela de copa: duradera y que absorbe los golpes para brindar la mejor protección contra impactos contra aterrizajes duros. Las suelas de copa generalmente duran más que una suela vulcanizada, pero no brindan tanta flexibilidad y la sensación de la tabla de inmediato.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES<br data-mce-fragment=""1"">Panel de cuarto de una pieza y empeine: este método de construcción significa que no hay obstrucciones en las costuras y elimina la posibilidad de reventones para que puedas patinar estos zapatos por más tiempo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Entresuela C-Cap®: EVA moldeada por compresión para una amortiguación y flexibilidad superiores en la entresuela.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Suela de caucho Ndurance®: Ndurance® es un compuesto de caucho altamente duradero que aumenta la vida útil de la suela de este zapato.",new balance numeric,SHOES,"10, new balance numeric",true,Talla,10,Color,beige,,,nb018,0.0,shopify,1,deny,manual,349000.00,,true,true,739980634751,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/new-balance-numeric-288-sport-skate-shoes-cream-gum.jpg?v=1616023018,1,,false,,,,,,,,,,,,,,,,,kg,,,active
kingpin,Kingpin,"DESCRIPCIÓN<br data-mce-fragment=""1"">Tomando prestado un poco de inspiración de diseño de los etnies Fader, el Kingpin es un clásico zapato de skate con lengua hinchada<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 4101000091/566<br data-mce-fragment=""1"">Color: negro / gris oscuro / goma<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Plantilla Foam Lite 1<br data-mce-fragment=""1"">Construcción de caja de huevos en la entresuela<br data-mce-fragment=""1"">Suela de goma 300 NBS<br data-mce-fragment=""1"">""E"" perforada en el panel del cuarto<br data-mce-fragment=""1"">Lengüeta y cuello acolchados<br data-mce-fragment=""1"">Ante negro / sintético",etnies,SHOES,"10, 7, 7.5, 9, 9.5, etnies footwear",true,Talla,7,,,,,et0662,0.0,shopify,2,deny,manual,239000.00,,true,true,889262953374,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000091-566-S-001.png?v=1616022617,1,,false,,,,,,,,,,,,,,,,,kg,,,active
kingpin,,,,,,,,7.5,,,,,et0663,0.0,shopify,2,deny,manual,239000.00,,true,true,889262953398,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000091-566-A-001.png?v=1616022618,2,,,,,,,,,,,,,,,,,,,kg,,,
kingpin,,,,,,,,9,,,,,et0664,0.0,shopify,2,deny,manual,239000.00,,true,true,889262953459,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000091-566-BO-001.png?v=1616022618,3,,,,,,,,,,,,,,,,,,,kg,,,
kingpin,,,,,,,,9.5,,,,,et0665,0.0,shopify,2,deny,manual,239000.00,,true,true,889262953473,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000091-566-TO-001.png?v=1616022618,4,,,,,,,,,,,,,,,,,,,kg,,,
kingpin,,,,,,,,10,,,,,et0666,0.0,shopify,2,deny,manual,239000.00,,true,true,889262953138,,,,,,,,,,,,,,,,,,,,,kg,,,
cartel-1,Cartel,"DESCRIPCIÓN<br data-mce-fragment=""1"">The Cartel es una de las últimas incorporaciones a la familia de calzado etnies. Con un diseño nítido, rápido y limpio en una nueva suela de goma 300 NBS, el Cartel presenta el logotipo de Etnies Arrow, borde biselado para un estilo adicional, plantilla STI Foam Lite Nivel 1 y lengüeta y cuello acolchados para mayor comodidad y protección.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 4101000402/540<br data-mce-fragment=""1"">Color: negro / negro / gris<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Lengüeta y cuello acolchados para mayor comodidad.<br data-mce-fragment=""1"">Puntera con triple costura<br data-mce-fragment=""1"">Tirador del talón para una entrada fácil<br data-mce-fragment=""1"">Plantilla STI Foam Lite Nivel 1<br data-mce-fragment=""1"">Construcción de suela de copa cosida<br data-mce-fragment=""1"">Suela exterior con ranuras flexibles<br data-mce-fragment=""1"">Suela de goma 300 NBS",etnies,SHOES,"8, etnies footwear",true,Talla,8,Color,grey yellow,,,et0661,0.0,shopify,1,deny,manual,220000.00,,true,true,889262666342,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/ETNIESCARTELGREYYELLOW.png?v=1616021682,1,,false,,,,,,,,,,,,,,,,,kg,,,active
cartel,Cartel,"DESCRIPCIÓN<br data-mce-fragment=""1"">The Cartel es una de las últimas incorporaciones a la familia de calzado etnies. Con un diseño nítido, rápido y limpio en una nueva suela de goma 300 NBS, el Cartel presenta el logotipo de Etnies Arrow, borde biselado para un estilo adicional, plantilla STI Foam Lite Nivel 1 y lengüeta y cuello acolchados para mayor comodidad y protección.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 4101000402/540<br data-mce-fragment=""1"">Color: negro / negro / gris<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Lengüeta y cuello acolchados para mayor comodidad.<br data-mce-fragment=""1"">Puntera con triple costura<br data-mce-fragment=""1"">Tirador del talón para una entrada fácil<br data-mce-fragment=""1"">Plantilla STI Foam Lite Nivel 1<br data-mce-fragment=""1"">Construcción de suela de copa cosida<br data-mce-fragment=""1"">Suela exterior con ranuras flexibles<br data-mce-fragment=""1"">Suela de goma 300 NBS",etnies,SHOES,"8, etnies footwear",true,Talla,8,Color,black black grey,,,et066,0.0,shopify,2,deny,manual,220000.00,,true,true,889262767278,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/4101000402-540-S-001.png?v=1616021529,1,,false,,,,,,,,,,,,,,,,,kg,,,active
cartel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/CARTELBBB.png?v=1616021530,2,,,,,,,,,,,,,,,,,,,,,,
silo-sc,Silo sc,"DESCRIPCIÓN<br data-mce-fragment=""1"">El SILO SC bellamente diseñado es un contragolpe a uno de los colores más vendidos del infame éS K1 1997. Integra cuero sintético y malla para transpirabilidad, construido sobre una entresuela STI Energy Foam y envuelto dentro de una suela de doble copa que es pionera en el skateboarding en los 90. Esta combinación de materiales y colores trae emociones de los mejores tiempos del skate, y seguirá manteniendo vivo este legado.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5101000180/521<br data-mce-fragment=""1"">Color: carbono<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Inspirado en la herencia de éS<br data-mce-fragment=""1"">Malla transpirable de alta calidad<br data-mce-fragment=""1"">Entresuela STI Energy Foam para una comodidad suprema<br data-mce-fragment=""1"">Construcción de doble copa de caucho 400 NBS<br data-mce-fragment=""1"">Marca y coloración icónicos de la éS de los 90<br data-mce-fragment=""1"">Cambiador de juego<br data-mce-fragment=""1"">Ante / Acción / Textil",éS,SHOES,"8.5, éS footwear",true,Talla,8.5,Color,carbon,,,es014,0.0,shopify,0,deny,manual,349000.00,,true,true,194691061461,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000180-521-A-001.png?v=1616020984,1,,false,,,,,,,,,,,,,,,,,kg,,,active
silo-sc,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000180-521-BO-001.png?v=1616020984,2,,,,,,,,,,,,,,,,,,,,,,
silo-sc,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000180-521-S-001.png?v=1616020984,3,,,,,,,,,,,,,,,,,,,,,,
silo-sc,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000180-521-TO-001.png?v=1616020984,4,,,,,,,,,,,,,,,,,,,,,,
swift-1-5,Swift 1.5,"DESCRIPCIÓN<br data-mce-fragment=""1"">El NUEVO SWIFT 1.5 está inspirado en nuestra rica herencia tecnológica de los 90 y está completamente cargado de funcionalidad y estilo. Suela de copa 400NBS de alta calidad para agarre, flexión y sensación de tabla. El icónico acento éS de silicona aumenta la durabilidad y el cordón doble brinda una opción para evitar la abrasión de la cinta de agarre. La puntera única de STI Thermothane está hecha de un material similar al uretano de las ruedas y proporciona el movimiento perfecto. Los estabilizadores de la lengua mantienen el pie ajustado y las plantillas de espuma STI Energy brindan un retorno de energía del 200% y los paneles laterales de malla y la lengüeta de máxima comodidad aumentan la transpirabilidad. El SWIFT ya es uno de los favoritos del equipo.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5101000158/964<br data-mce-fragment=""1"">Color: negro / goma<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Inspirado por éS Heritage<br data-mce-fragment=""1"">Bucles de encaje ocultos<br data-mce-fragment=""1"">Puntera Thermothane<br data-mce-fragment=""1"">Detalle de silicona en relieve para mayor durabilidad y protección de los cordones<br data-mce-fragment=""1"">Lycra Spandex Correas de lengüeta<br data-mce-fragment=""1"">Plantilla de espuma de energía moldeada STI<br data-mce-fragment=""1"">Logotipo éS Quarter bordado<br data-mce-fragment=""1"">Panel de malla y lengüeta para mayor transpirabilidad<br data-mce-fragment=""1"">Ante / Textil / Sintético",éS,SHOES,"7, 8, éS footwear",true,Talla,7,Color,black gum,,,es031,0.0,shopify,1,deny,manual,259000.00,,true,true,889262465877,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000158-964-S-001.png?v=1616020802,1,,false,,,,,,,,,,,,,,,,,kg,,,active
swift-1-5,,,,,,,,8,,black gum,,,es032,0.0,shopify,3,deny,manual,259000.00,,true,true,889262465938,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000158-964-BO-001.png?v=1616020802,2,,,,,,,,,,,,,,,,,,,kg,,,
swift-1-5,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000158-964-TO-001.png?v=1616020802,3,,,,,,,,,,,,,,,,,,,,,,
omega-1,Omega,"DESCRIPCIÓN<br data-mce-fragment=""1"">Durante la primavera de 2002, éS lanzó la súper tecnología Omega. Esta fue una zapatilla hinchada clásica inmediata que se ha solicitado que se vuelva a publicar desde entonces. Basados ​​en una fuerte demanda, nos complace anunciar la reintroducción de este zapato icónico que estableció los estándares de estilo, función e innovación de la era.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5101000172/001<br data-mce-fragment=""1"">De color negro<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Superior de cuero<br data-mce-fragment=""1"">Lengüeta y cuello acolchados<br data-mce-fragment=""1"">Lazos de encaje ocultos para protección.<br data-mce-fragment=""1"">Tirantes de lycra para centrar la lengua<br data-mce-fragment=""1"">Jaula de soporte soldada en todas partes<br data-mce-fragment=""1"">Protección ollie de goma<br data-mce-fragment=""1"">Entresuela STI Energy Foam para resistencia al impacto<br data-mce-fragment=""1"">Acción Cuero / Textil",éS,SHOES,"7.5, éS footwear",true,Talla,7.5,Color,black,,,es33,0.0,shopify,1,deny,manual,359000.00,,true,true,194691048066,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGASSS.png?v=1616019649,1,,false,,,,,,,,,,,,,,,,,kg,,,active
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-BO-001.png?v=1616019650,2,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-S-001.png?v=1616019650,3,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-TO-001.png?v=1616019650,4,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-X-001.png?v=1616019650,5,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-X-002.png?v=1616019650,6,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-001-X-003.png?v=1616019650,7,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGAAA.png?v=1616019650,8,,,,,,,,,,,,,,,,,,,,,,
omega-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGAAAA.png?v=1616019650,9,,,,,,,,,,,,,,,,,,,,,,
omega,omega,"DESCRIPCIÓN<br data-mce-fragment=""1"">Durante la primavera de 2002, éS lanzó la súper tecnología Omega. Esta fue una zapatilla hinchada clásica inmediata que se ha solicitado que se vuelva a publicar desde entonces. Basados ​​en una fuerte demanda, nos complace anunciar la reintroducción de este zapato icónico que estableció los estándares de estilo, función e innovación de la era.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 5101000172/145<br data-mce-fragment=""1"">Color: blanco / azul marino<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Superior de cuero<br data-mce-fragment=""1"">Lengüeta y cuello acolchados<br data-mce-fragment=""1"">Lazos de encaje ocultos para protección.<br data-mce-fragment=""1"">Tirantes de lycra para centrar la lengua<br data-mce-fragment=""1"">Jaula de soporte soldada en todas partes<br data-mce-fragment=""1"">Protección ollie de goma<br data-mce-fragment=""1"">Entresuela STI Energy Foam para resistencia al impacto<br data-mce-fragment=""1"">Acción Cuero / Textil",éS,SHOES,"10, éS footwear",true,Talla,10,Color,white navy,,,es005,0.0,shopify,1,deny,manual,359000.00,,true,true,194691047847,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-2.png?v=1616019205,1,,false,,,,,,,,,,,,,,,,,kg,,,active
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-1.png?v=1616019205,2,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-3.png?v=1616019205,3,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-4.png?v=1616019205,4,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-5.png?v=1616019205,5,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-6.png?v=1616019205,6,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/OMEGA-7.png?v=1616019205,7,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-145-S-001.png?v=1616019205,8,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-145-TO-001.png?v=1616019205,9,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-145-X-001.png?v=1616019205,10,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-145-X-002.png?v=1616019205,11,,,,,,,,,,,,,,,,,,,,,,
omega,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/5101000172-145-X-003.png?v=1616019206,12,,,,,,,,,,,,,,,,,,,,,,
gamma,Gamma,"DESCRIPCIÓN<br data-mce-fragment=""1"">El Gamma es una versión retro de un zapato de skate que está diseñado para ser duradero para patinar todo lo que desees. Con una envoltura de doble costura alrededor de la puntera con una base de goma para mayor durabilidad y todo se sienta en la suela de Fórmula G probada y verdadera. HECHO PARA PATINAR.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">DETALLES DE PRODUCTO<br data-mce-fragment=""1"">Código del artículo: 6101000137/964<br data-mce-fragment=""1"">Color: negro / goma<br data-mce-fragment=""1"">Características:<br data-mce-fragment=""1"">Construcción de suela de copa<br data-mce-fragment=""1"">Entresuela de EVA de longitud completa<br data-mce-fragment=""1"">Vampiro de una pieza<br data-mce-fragment=""1"">Puntera envolvente con doble costura<br data-mce-fragment=""1"">Base de caucho<br data-mce-fragment=""1"">Compuesto de caucho Fórmula G<br data-mce-fragment=""1"">Ante",emerica,SHOES,"10, 7, 7.5, 8, 8.5, emerica",true,Talla,7,Color,black gum,,,eme04,0.0,shopify,6,deny,manual,249000.00,,true,true,194691080790,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/6101000137-964-S-001.png?v=1616012233,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gamma,,,,,,,,7.5,,black gum,,,eme05,0.0,shopify,0,deny,manual,249000.00,,true,true,194691080813,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/6101000137-964-A-001.png?v=1616012233,2,,,,,,,,,,,,,,,,,,,kg,,,
gamma,,,,,,,,8,,black gum,,,eme06,0.0,shopify,0,deny,manual,249000.00,,true,true,194691080837,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/6101000137-964-BO-001.png?v=1616012233,3,,,,,,,,,,,,,,,,,,,kg,,,
gamma,,,,,,,,8.5,,black gum,,,eme07,0.0,shopify,0,deny,manual,249000.00,,true,true,194691080851,https://cdn.shopify.com/s/files/1/0539/4871/1093/products/6101000137-964-TO-001.png?v=1616012225,4,,,,,,,,,,,,,,,,,,,kg,,,
gamma,,,,,,,,10,,black gum,,,eme08,0.0,shopify,0,deny,manual,249000.00,,true,true,194691080578,,,,,,,,,,,,,,,,,,,,,kg,,,
